row	column	plant	year	irrigation	rootstock	leaf	block	Na	Mg	Al	P	S	K	Ca	Mn	Fe	Co	Ni	Cu	Zn	Rb	Sr	Mo	Cd
10	C	1	2014	full	OWN	X	B1	187.4396093	1889.329083	15.77103987	6731.028792	3377.325491	14762.32603	7167.992491	51.78713501	78.30681226	0.108838434	0.555827584	16.87765102	52.38453965	21.08238324	7.654381193	0.204489659	0.035007156
10	C	1	2014	full	OWN	Y	B1	50.33956881	2453.742299	35.12994902	1705.688668	3335.132118	9788.230003	11727.41073	105.8504073	142.6383922	NA	0.964378374	8.90213023	152.4081376	5.280645401	17.50204867	0.188554493	NA
10	C	1	2014	full	OWN	Z	B1	64.00523515	2228.976512	14.94718807	374.8059565	2844.885453	5683.251266	22297.8029	249.1790467	105.1672	0.106007813	0.717103547	11.841546	213.7341973	3.301424076	34.26709454	0.158321183	NA
10	C	2	2014	full	OWN	X	B1	320.3574407	2447.901164	22.5934135	6393.656984	3492.436964	16334.36532	12330.97808	81.30652775	128.6918598	0.082741006	0.7750087	NA	198.126191	22.66079766	20.91584219	0.176849857	0.042956693
10	C	2	2014	full	OWN	Y	B1	52.82841108	2500.95912	12.78968874	1626.979214	2863.89015	9600.370985	12246.92541	152.8885603	NA	0.114285878	1.162755527	NA	251.9153425	4.339979298	27.95043888	0.222114053	NA
10	C	2	2014	full	OWN	Z	B1	69.74639884	2741.69474	14.15734438	1349.926157	2830.984221	5733.146048	21371.07974	313.1245824	98.92512156	0.087320207	0.966933194	41.17592614	128.6483537	3.524940571	54.19442142	0.117135195	0.079100717
10	C	3	2014	full	OWN	X	B1	251.8605122	2283.441362	14.63086021	10175.24299	4463.561532	19663.56483	8985.002497	52.535927	91.8822788	0.101359317	0.724323292	19.15311049	56.39098013	23.73102519	15.60699762	0.173855319	0.020624569
10	C	3	2014	full	OWN	Y	B1	40.82312662	2718.24179	9.628852181	785.7171041	3294.52346	8553.186243	12770.53982	66.91675635	114.9943337	0.077573941	0.892709572	56.81418061	83.20804023	4.716929476	24.46977092	0.174661537	NA
10	C	3	2014	full	OWN	Z	B1	39.97404503	2313.651813	15.15609997	541.4709273	2928.937498	5989.746987	22298.84086	299.1317148	101.9524159	0.116695185	0.931391273	7.291373887	71.06897237	3.198317615	40.72919594	0.131682929	0.048852566
10	C	4	2014	full	OWN	X	B1	136.0901832	1854.628646	52.17882561	4122.071504	3136.978055	13449.70252	11476.42037	71.95533613	114.3416011	0.118479599	0.762931557	49.70027196	55.05513388	13.60776053	24.46849679	0.179066838	0.037360488
10	C	4	2014	full	OWN	Y	B1	44.17272473	2929.614683	21.19643694	1342.801262	3347.67309	8518.442451	12533.68811	102.7876364	84.95041821	0.120031153	0.822669358	10.20645436	255.9132332	4.783051354	28.09036698	0.150666502	0.1738383
10	C	4	2014	full	OWN	Z	B1	103.9416161	3266.680443	31.47543467	498.5913253	2334.610239	6039.26537	18600.8857	293.6773407	102.0316598	0.121776698	1.275776023	6.053971486	114.0129439	3.974180692	44.63362088	0.151166948	0.070607166
10	D	1	2014	full	1103P	X	B1	94.05570231	2205.784662	NA	7419.321752	3603.816711	13948.998	7613.451996	68.09445288	129.192296	0.254351261	0.763533059	31.84177218	54.2225654	NA	13.37663078	0.159660995	0.037774958
10	D	1	2014	full	1103P	Z	B1	61.37325284	3004.365255	20.4965477	2042.835961	2361.371195	3946.887019	23777.28787	305.0543077	224.6716867	0.196676561	1.254915135	23.24948893	117.5698209	2.494428472	67.78175202	0.131369043	0.045929075
10	D	2	2014	full	1103P	X	B1	NA	2282.214723	32.24071657	6350.47631	3014.626056	13538.18929	7811.778637	72.12389814	84.69260571	0.187207622	0.615472573	24.4285743	62.99078223	23.19697326	11.56642752	0.21394187	0.029854411
10	D	2	2014	full	1103P	Z	B1	106.5811073	2722.165072	31.96967806	1755.594601	2507.631215	6919.656603	19471.68619	225.0038214	112.281785	0.244288757	1.454365646	8.306178381	54.09566381	3.50588669	52.64537925	0.155794308	0.022701785
10	D	3	2014	full	1103P	Y	B1	57.05805845	3235.127094	10.47380366	2657.819921	2969.992345	9764.403885	10192.14731	110.0675585	78.91011575	0.32628548	0.817945401	10.84860488	74.946037	7.855746636	29.82095561	0.163711177	0.021468796
10	D	3	2014	full	1103P	Z	B1	55.09204623	3105.100432	20.36539495	2334.85493	2475.271522	6031.234032	17875.72333	316.7331082	112.3426254	0.41536862	1.40613838	38.42135652	100.4317972	4.026128232	57.73119439	0.172169496	0.161579292
10	D	4	2014	full	1103P	X	B1	346.5734175	2522.615039	20.41258922	6667.213194	3201.322281	12392.37906	9016.406001	68.62860598	89.98114038	0.206335562	0.683358809	16.48449353	40.67567012	16.24982389	27.97913788	0.175495335	0.026899035
10	D	4	2014	full	1103P	Y	B1	63.60456023	3240.932039	12.09177238	2784.849361	2802.875777	9113.08626	12743.15631	117.4988617	98.31171325	0.440270699	1.256198039	12.15587104	42.13592746	5.287279029	47.75296556	0.174353117	0.083391526
10	D	4	2014	full	1103P	Z	B1	111.5108743	3104.472005	11.69400132	2182.796284	2265.975793	2325.668738	24455.0704	258.9705838	96.33188334	0.310311002	1.29032904	4.71369243	NA	1.369981837	NA	0.160557802	0.086725347
10	E	1	2014	full	1103P	X	B4	66.85124475	2086.216217	14.36993548	2089.285538	4031.67658	8875.279952	24139.98271	183.6973661	152.7884643	0.097249995	1.216769952	61.01766024	226.4411107	4.828616101	33.95203631	0.172609091	0.022652605
10	E	1	2014	full	1103P	Y	B4	68.2451964	2232.348545	14.68692943	2600.511564	3288.021353	11881.01552	12346.79955	68.66439047	84.07204674	0.063033729	0.631409676	17.75653938	53.97459075	9.576004404	17.44986464	0.146782401	0.010018233
10	E	1	2014	full	1103P	Z	B4	NA	2007.197646	15.67145866	6987.114846	3414.825397	15293.23598	8508.664383	52.36524934	75.77832985	0.08071056	0.932697855	29.88823712	68.63425732	24.58346718	12.70396751	0.144146869	0.017318911
10	E	2	2014	full	1103P	Y	B4	35.68213195	2147.72226	8.363074933	2777.973336	2644.055042	11868.18851	11379.62001	88.98684599	61.63330411	0.062844747	0.854887937	7.381771347	63.37096324	8.217309909	19.56977465	0.177402853	0.010778177
10	E	2	2014	full	1103P	Z	B4	60.63936095	3456.207004	17.55657774	5842.439561	3998.048807	12672.77952	34010.32041	265.5592417	133.2368404	0.210527831	2.192918071	6.020259294	194.086532	7.734135159	66.5074759	0.260176738	0.039668237
10	E	3	2014	full	1103P	X	B4	134.8935946	2423.205735	21.29625444	5112.896302	3025.997047	12670.52636	9249.664932	52.36910286	122.3984236	0.140712593	0.512034831	16.24756995	36.05678235	17.06044818	24.25148436	0.19103562	0.035703054
10	E	4	2014	full	1103P	X	B4	140.939036	2055.217759	12.9060124	7003.352111	3070.532822	16673.88299	7194.076576	39.89280269	57.78537346	0.196758805	0.710874272	14.91287592	49.35191491	NA	19.28501412	0.159176621	0.030299445
10	F	1	2014	full	SO4	X	B4	70.56904506	2317.860304	9.870549157	5526.998587	3294.541949	13955.10419	9604.625151	68.9553627	107.7943997	0.09046651	0.391255014	58.20869781	68.6354922	19.76037282	18.68217948	0.13418709	0.02118624
10	F	1	2014	full	SO4	Y	B4	27.58240053	2925.154807	22.1970667	1724.078119	3092.766752	8378.714039	13933.45337	127.8310973	93.88751226	0.154293164	0.665499727	9.667850385	181.3625533	4.501504034	28.66566841	0.150190395	0.019495583
10	F	1	2014	full	SO4	Z	B4	31.29201226	2282.445892	17.05308907	1787.555681	2560.273109	4919.168535	24766.16184	371.1186579	229.4474082	0.143190014	0.905670172	NA	NA	2.279620315	40.98800175	0.149363533	0.029241736
10	F	2	2014	full	SO4	X	B4	128.4581419	2236.074761	27.81857316	977.0652668	2961.479199	7180.140736	18790.6637	158.0689359	110.7763966	0.108183118	0.950833837	6.049874229	59.67086146	4.257096623	30.12530722	0.176820354	0.033651782
10	F	2	2014	full	SO4	Y	B4	29.00109788	2427.979546	10.2946915	2222.181045	2730.721349	9218.385457	11827.25233	80.80526546	73.73882663	0.122577098	0.559230385	9.3833621	53.51586575	5.366416103	23.26510855	0.167322838	0.029653406
10	F	2	2014	full	SO4	Z	B4	127.7230411	1798.530694	25.39980942	2684.565047	3189.798957	13255.49851	12703.26454	48.10232257	94.75121486	0.06424581	0.526488549	10.63430167	94.49044697	18.67369227	12.08640999	0.160698078	0.036890974
10	F	3	2014	full	SO4	X	B4	132.8596185	1557.884997	NA	5417.015869	2851.082973	12346.50429	7285.116805	45.05153274	84.65363294	0.074068039	0.370993948	NA	62.41559655	12.78634124	9.931545565	0.359424472	0.008088682
10	F	3	2014	full	SO4	Y	B4	31.77021935	1240.692938	52.93663024	4229.351791	2631.245907	8779.644663	17598.65479	194.3228951	119.7999761	0.066751099	0.503723447	29.77558024	118.3397662	3.729323204	26.64705204	0.304548283	0.034059353
10	F	3	2014	full	SO4	Z	B4	76.26937579	1826.30117	6.370393971	4267.125448	2906.256078	9297.453119	8131.483886	41.88700656	134.852941	0.070440023	0.332525902	NA	122.5110542	7.528341674	13.45179571	0.391598005	0.014637805
10	F	4	2014	full	SO4	X	B4	NA	2092.522741	18.7205827	10114.70858	4349.584743	17310.26524	12642.37311	73.28397088	128.1433534	0.149099572	1.908018467	NA	86.29396563	NA	22.26201944	0.27969479	0.012135886
10	F	4	2014	full	SO4	Y	B4	18.84112896	2316.801282	20.17466084	1877.707229	2464.306081	10316.2778	16022.90378	119.4803978	102.7784995	0.179279104	1.58064448	44.77318003	86.11822225	5.921034454	30.34073597	0.182813236	0.016992755
10	F	4	2014	full	SO4	Z	B4	56.54395782	4150.344573	53.11698143	5328.715362	2643.692294	7915.450837	NA	NA	139.3355935	0.207094247	1.44000496	5.318513466	63.47314176	5.331895011	NA	0.313795027	0.050771586
10	G	1	2014	full	3309C	Y	B4	NA	3355.641016	22.0967225	12128.9411	5891.737849	25298.14299	12892.98599	82.58416853	146.6828638	0.233330828	1.078521277	34.11629712	80.93594135	NA	21.50087516	0.301040747	0.016865555
10	G	2	2014	full	3309C	X	B4	225.042198	2421.850902	4.673881504	6187.618372	3211.831386	15448.82863	8277.026119	52.3139852	48.65372961	0.046923639	0.736811214	11.2819406	47.64214905	18.46672148	17.02786349	0.114946772	0.012159283
10	G	2	2014	full	3309C	Y	B4	57.3020066	2138.468681	10.40872177	2627.217489	3801.360053	15773.14087	11835.39832	88.86251124	79.70547245	0.082137512	1.065218494	8.80886273	70.2135554	7.575397018	27.21314665	0.194338047	0.043873728
10	G	2	2014	full	3309C	Z	B4	89.46619924	1943.256512	12.21224967	474.238075	3254.264714	7944.386323	19018.04711	190.1043613	94.94182342	0.136097332	1.097708991	6.249990269	151.1331567	3.414222863	33.36195463	0.157163419	0.056174029
10	G	3	2014	full	3309C	Y	B4	60.85570748	2384.641597	43.86124253	1633.190523	3038.679675	11627.66684	8804.692052	75.80557716	95.58714649	0.086182422	0.760995669	17.924173	61.34944301	7.020219007	12.1394164	0.233225313	0.034197727
10	G	3	2014	full	3309C	Z	B4	76.07564875	2802.58377	37.33312927	887.7958309	3169.986851	8746.15413	24504.67059	404.6761007	184.9105851	0.310054799	1.940427728	21.51242331	97.12394379	4.152549388	44.68243976	0.173481159	0.075834014
10	G	3	2014	full	3309C	X	B4	227.3101969	2180.279378	24.9143123	5694.008884	2869.614822	19848.73291	8457.769379	68.18708641	NA	0.180601243	3.99863966	NA	NA	18.60996572	14.93855727	0.347722614	0.111532505
10	G	4	2014	full	3309C	X	B4	46.22850967	2076.026534	31.23932046	832.1722647	2345.762034	9272.355604	14485.63122	139.0027705	94.43812941	0.228182989	1.851050359	6.642644055	107.0082595	7.131151845	29.60759821	0.283934588	0.024691964
10	G	4	2014	full	3309C	Y	B4	44.23021696	2382.477577	18.39722907	2711.520858	2676.784329	23724.29984	12275.17093	66.75752219	177.0871926	0.197841013	2.112214821	NA	168.3809304	19.47787574	29.40532997	0.42046946	0.026543827
10	G	4	2014	full	3309C	Z	B4	NA	2095.28406	24.38271538	NA	2783.212368	11789.52934	10248.39527	51.67919576	76.21405855	0.096698678	1.506374541	20.08807442	46.71277759	NA	24.79241514	0.278744159	0.007574306
10	H	1	2014	full	OWN	X	B4	206.477887	1714.180298	9.710269502	4863.011555	2606.417081	12233.13925	5022.027517	50.81396336	50.79743215	0.113728971	0.852516388	12.67768606	35.89643137	12.67664511	6.876012783	0.255878041	0.014453694
10	H	1	2014	full	OWN	Y	B4	19.96601907	2304.911038	16.53297863	1220.159585	3302.678987	9722.694775	11847.90547	143.3475496	70.99482557	0.148620273	1.196995312	7.514695785	124.3282504	3.462938743	24.16833629	0.258039618	0.021270574
10	H	1	2014	full	OWN	Z	B4	36.89523945	2422.156441	24.69120354	383.9938352	3007.336805	5578.777383	19571.97125	288.0762349	87.16966632	0.152166186	1.253729696	4.626048194	78.58836593	2.470790942	39.09893186	0.1798158	0.037112496
10	H	2	2014	full	OWN	X	B4	NA	2344.278869	15.81258731	5139.457452	2891.71893	14778.2505	5903.831136	42.04346522	52.96799815	0.110159316	1.137827398	12.70117653	34.36058433	18.77263831	13.95176824	0.222695887	0.019246511
10	H	2	2014	full	OWN	Y	B4	52.97339409	2834.175672	34.47025953	-748.9678306	2993.554696	7560.064778	13063.00755	94.05779784	94.79904865	0.154607419	1.621553743	6.863347297	49.98740368	3.214439759	29.31193378	0.211606371	0.028291167
10	H	2	2014	full	OWN	Z	B4	21.30976996	2731.580394	37.38780979	161.1793321	2697.590992	6073.703628	19062.80564	201.8946992	92.98076063	0.210520926	2.106234166	4.72709071	39.76359085	3.021947131	54.28915208	0.169228818	0.171985623
10	H	3	2014	full	OWN	X	B4	295.7812477	2090.10376	18.45437458	7055.493505	3641.364072	18065.49492	8555.318576	53.1205137	78.11077609	0.107720479	1.263391275	18.38357449	86.98218172	23.00098717	13.21839594	0.283306951	0.023000442
10	H	3	2014	full	OWN	Y	B4	22.20466988	2573.391168	12.12709212	1806.748115	2745.776373	9485.108199	10509.47836	82.63471679	63.68082334	0.129892185	1.044463259	5.824306987	39.06185029	4.953199149	21.22837148	0.259575989	0.024312866
10	H	3	2014	full	OWN	Z	B4	60.67406008	2664.657456	20.87568007	1750.175899	2650.934904	7250.829087	13278.10478	219.2899509	70.92679521	0.159934454	1.568057232	4.544671594	40.95746839	3.618305387	37.13166908	0.261980376	0.033587723
10	H	4	2014	full	OWN	X	B4	NA	2092.446972	18.37504975	6804.824536	3293.993616	13802.5648	7045.928788	39.40535894	116.1763727	0.159309825	1.367068947	18.37995047	53.78192139	17.691744	14.02533684	0.218252728	0.144798725
10	H	4	2014	full	OWN	Y	B4	44.027275	3314.233018	20.564125	2192.640832	3173.19426	7884.892669	13272.95434	87.64197622	87.45590505	0.210602724	1.532177196	7.691475253	49.93217947	5.422285335	39.59826423	0.251695285	0.05142188
10	H	4	2014	full	OWN	Z	B4	93.77589859	2278.03139	36.81543485	688.686572	2949.261743	5907.270348	20220.418	189.9189502	122.4209469	0.250900374	1.879536854	6.576685892	46.99428577	3.817795818	52.85170605	0.179472606	0.044793132
11	A	1	2014	half	3309C	X	B2	134.2420506	2272.55095	19.1107502	6271.154342	2825.149261	14134.02568	8795.307209	23.84865467	48.55776888	0.073307628	0.509647923	11.32138987	44.91282007	NA	9.278647731	0.195653547	0.030135841
11	A	1	2014	half	3309C	Y	B2	42.40156413	2508.364769	17.24642892	1352.558787	2799.753441	6851.459371	12547.73508	33.20492867	65.14955202	0.076154104	0.462482835	5.501974185	46.00927835	3.792974032	14.51531146	0.263076681	0.060018766
11	A	1	2014	half	3309C	Z	B2	54.39601635	2327.692918	26.58967478	590.7175254	2715.549118	4997.881051	18134.1468	90.17618251	79.74683415	0.114558684	0.565505486	5.06468647	31.35424593	2.883592211	22.14583107	0.25779456	0.031583116
11	A	2	2014	half	3309C	X	B2	113.2699012	1201.256378	13.92767264	4296.661163	2850.151098	9152.152605	8686.281544	20.92461786	56.88801396	0.05023324	0.393181333	12.66640714	31.18330365	12.52853344	10.34794317	0.259155661	0.015736125
